sku_num,coef,sku_num_obj,sku_brand,Brand_ID
361,0.34539385519968185,361,MOD-IP-DARKGREY-3P_US-1,1
362,0.34240503119195553,362,MOD-IP-COOLGREY-3P_US-1,1
363,1.206768803387713,363,UP-Q5WV-GSDY_US-8,8
366,0.7167056400591539,366,G0-3YUP-CHNO_US-2,2
367,-0.018799970645192923,367,MOD-GRINDERS-1_US-1,1
368,1.5831204226580173,368,YSDBOXC03_US-20,20
369,0.0,369,F6-9BMA-DVCP_US-11,11
370,0.0,370,0S-4CWM-499O_US-32,32
371,0.29109381191445377,371,CA-95X7-SSVS_US-6,6
372,0.0,372,LJ-AQCG-S8EO_US-43,43
373,0.0,373,SimElepP_US-19,19
374,1.232640572001615,374,3U-2UYM-RDVB_US-8,8
376,0.0,376,C32-V0FE-HX5V_US-3,3
378,0.04122002211965962,378,bag_queen_6mil_US-5,5
379,0.058485304815430204,379,bag_king_6mil_US-5,5
380,0.10125176793973907,380,bag_twin_6mil_US-5,5
381,0.25864994123482266,381,bag_full_6mil_US-5,5
383,0.1795193948882161,383,0B-NIYJ-U5S0_US-2,2
386,0.0,386,bebe-ambulance_US-4,4
394,0.3838337233111585,394,36 pack_US-7,7
396,0.20445515742630566,396,B6-4VVB-RUVI-FBA_US-9,9
397,0.5679864507113165,397,RY-61NY-OME6_US-8,8
400,-0.01712935561264081,400,RC-2PMD-N0AD_US-11,11
401,0.08773192155054557,401,J4-LFOW-DPX6_US-6,6
403,-0.0017614102490346967,403,XT-H16T-VAIC_US-2,2
408,0.0,408,G3-DIWL-CPN5_US-11,11
409,-0.0006043381168894344,409,LowbackXL_US-17,17
410,-0.023156589212799422,410,LowbackML_US-17,17
411,0.0,411,C34-V0FE-HX5V_US-3,3
412,-0.001686249525180627,412,BABO_GR_88_US-47,47
413,-0.0006674753910446445,413,GTBIBv3_US-4,4
416,0.2313094244104792,416,69-C5F1-NZC9_US-32,32
417,0.19906235063467487,417,HR-151G-HLKI_US-48,48
419,0.2049887496613891,419,NL-3OYS-U4DJ_US-35,35
420,-0.08149991445710933,420,Q9-V7BL-ZRIL_US-9,9
424,0.0,424,NA-DCRJ-2PRW_US-11,11
426,0.42535981862644257,426,QW-HDNC-PNFN_US-48,48
427,0.35544856743355,427,I9-N0B3-ZGGE_US-8,8
428,0.0006776870887278421,428,HCO-HOK-Cork1-RW_US-3,3
429,0.24340613099589675,429,HCO-HOK-Cork1-JR_US-3,3
430,0.2548886750890989,430,HCO-HOK-Cork1-MR_US-3,3
431,0.2570357947736423,431,HCO-HOK-Cork1-SEW_US-3,3
432,0.07988234139792351,432,HCO-HOK-Cork1-SFR_US-3,3
433,0.10780635993811184,433,HCO-HOK-Cork1-SMR_US-3,3
434,0.1948556017072584,434,HCO-HOK-Cork1-SR_US-3,3
